1,3
2,64
3,47
4,23
5,67
6,53
7,40
8,82
9,10
10,72
11,69
12,2
13,26
14,16
15,50
16,36
17,35
18,9
19,81
20,65
21,78
22,46
23,21
24,75
25,73
26,85
27,68
28,30
29,90
30,58
31,84
32,87
33,88
34,76
35,41
36,37
37,45
38,19
39,24
40,80
41,7
42,44
43,5
44,60
45,61
46,13
47,79
48,71
49,56
50,15
51,4
52,70
53,43
54,22
55,29
56,12
57,63
58,34
59,86
60,74
61,8
62,25
63,32
64,17
65,49
66,83
67,18
68,77
69,52
70,55
71,39
72,20
73,42
74,48
75,28
76,59
77,89
78,62
79,11
80,91
81,57
82,51
83,54
84,27
85,33
86,38
87,1
88,66
89,6
90,14
91,31
