1,2
2,66
3,45
4,24
5,68
6,54
7,42
8,80
9,11
10,67
11,63
12,3
13,28
14,15
15,40
16,37
17,38
18,9
19,82
20,62
21,79
22,46
23,22
24,74
25,75
26,84
27,69
28,29
29,90
30,51
31,86
32,88
33,87
34,72
35,47
36,35
37,41
38,18
39,21
40,81
41,8
42,50
43,5
44,64
45,59
46,14
47,78
48,73
49,60
50,13
51,4
52,71
53,39
54,23
55,25
56,16
57,65
58,31
59,85
60,76
61,7
62,34
63,32
64,19
65,43
66,83
67,20
68,77
69,61
70,49
71,48
72,17
73,44
74,57
75,33
76,58
77,89
78,55
79,12
80,91
81,56
82,53
83,52
84,26
85,27
86,36
87,1
88,70
89,6
90,10
91,30
